发布日期,大模型,总分,排名
2024/5/13,gpt-4o,94.3,1
2024/10/16,yi-lightning(new),93,2
2024/6/28,百度ERNIE-4.0-Turbo,92.5,3
2024/6/13,百度ERNIE-3.5-8K,92.3,4
2024/4/9,gpt-4-turbo,91.8,5
2024/9/19,qwen2.5-32b-instruct,91.6,6
2024/7/18,gpt-4o-mini,91.4,7
2023/10/16,百度ERNIE-4.0,90.8,8
2024/9/19,qwen2.5-14b-instruct,90.7,9
2024/5/6,deepseek-chat-v2,90.6,10
2024/8/30,GLM-4-Plus(new),90.5,11
2024/6/7,Qwen2-72B-Instruct,90.5,12
2024/9/19,qwen2.5-72b-instruct,90.4,13
2024/5/15,豆包Doubao-pro-32k,90.1,14
2024/9/24,gemini-1.5-pro(new),89.5,15
2024/9/24,gemini-1.5-flash(new),89.5,16
2024/10/24,讯飞4.0Ultra,89.2,17
2024/7/23,Llama-3.1-70B-Instruct,88.7,18
2024/4/28,阿里qwen-max,88.6,19
2024/5/13,yi-medium,87.9,20
2024/4/17,minimax-abab6.5-chat,87.8,21
2024/4/18,Llama-3-70B-Instruct,87.8,22
2024/8/13,GLM-4-Long(new),87.6,23
2024/9/19,qwen2.5-7b-instruct,87.4,24
2024/6/30,internlm2_5-20b-chat,87.4,25
2024/5/22,Baichuan3-Turbo,87.4,26
2024/5/13,yi-large,87.3,27
2024/4/17,minimax-abab6.5s-chat,87.2,28
2024/1/30,讯飞星火v3.5(spark-max),87.2,29
2024/5/22,Baichuan4,87,30
2024/1/16,智谱GLM4,87,31
2024/7/1,智谱GLM-4-Air,86.5,32
2024/7/1,智谱GLM-4-AirX,86.5,33
2024/9/19,阿里qwen-plus,86.3,34
2024/6/7,qwen2-57b-a14b-instruct,86,35
2024/2/6,Qwen1.5-32B-Chat,86,36
2024/6/28,gemma-2-9b-it,85.6,37
2024/5/13,yi-large-turbo,85.5,38
2023/10/24,讯飞星火v3(spark-pro),85.2,39
2024/5/21,阿里qwen-long,85,40
2024/1/25,gpt-3.5-turbo,84.2,41
2024/2/6,Qwen1.5-72B-Chat,83.8,42
2024/1/23,月之暗面moonshot-v1-8k,83.6,43
2024/8/12,glm-4-9b-chat,83.3,44
2024/6/7,Qwen2-7B-Instruct,82.2,45
2024/2/6,Qwen1.5-14B-Chat,82.2,46
2023/12/7,gemini-1.0-pro(new),82.1,47
2024/5/13,Yi-1.5-34B-Chat,82,48
2024/8/27,智谱GLM-4-Flash,81.9,49
2024/5/13,yi-spark,81.7,50
2024/2/5,百度ERNIE-Speed-8K,81.7,51
2024/2/2,商汤SenseChat-v4,80.9,52
2024/6/30,internlm2_5-7b-chat,80.4,53
2024/5/30,Llama-3-8B-Instruct,80.4,54
2024/9/19,qwen2.5-3b-instruct,80.2,55
2023/9/15,qwen-turbo,79.9,56
2024/1/17,internlm2-chat-20b,79.7,57
2024/5/13,Yi-1.5-9B-Chat,79.2,58
2024/5/8,Llama-3.1-8B-Instruct,79,59
2024/2/2,商汤SenseChat-Turbo,78.7,60
2024/5/15,豆包Doubao-lite-32k,77.7,61
2024/4/19,openbuddy-llama3-8b,76.2,62
2024/5/16,DeepSeek-V2-Lite-Chat,73.7,63
2024/2/6,Qwen1.5-7B-Chat,73.5,64
2024/3/17,minimax-abab5.5-chat,72.8,65
2024/1/17,internlm2-chat-7b,71.5,66
2024/9/19,qwen2.5-1.5b-instruct,70.5,67
2024/4/24,Phi-3-mini-128k-instruct,70.3,68
2024/2/1,MiniCPM-2B-dpo,67.3,69
2024/2/6,Qwen1.5-4B-Chat,65.2,70
2024/6/7,qwen2-1.5b-instruct,62.6,71
2024/3/17,minimax-abab5.5s-chat,58,72
2024/9/19,qwen2.5-0.5b-instruct,54.1,73
2024/1/17,internlm2-chat-1_8b,54,74
2024/2/6,Qwen1.5-1.8B-Chat,48.1,75
2024/6/7,qwen2-0.5b-instruct,47.4,76
2024/2/6,Qwen1.5-0.5B-Chat,39.6,77
